Frage,a,b,c,d,
"71. Unter welchen Voraussetzungen darf gemäß der Unfallverhütungsvorschrift DGUV Vorschrift 23, Wach- und Sicherungsdienste, das Wach- und Sicherungspersonal mit Schusswaffen ausgerüstet werden?","A) Das Wach- und Sicherungspersonal darf mit Schusswaffen ausgerüstet werden, wenn es einmal monatlich an der Waffe ausgebildet wird",B) Der Bewachungsgewerbetreibende muss die Ausrüstung des Wach- und Sicherungspersonals mit Schusswaffen ausdrücklich anordnen,"C) Das Wach- und Sicherungspersonal darf mit Schusswaffen ausgerüstet werden, wenn es das 21. Lebensjahr vollendet hat","D) Das Wach- und Sicherungspersonal muss nach dem Waffengesetz zuverlässig, geeignet, sachkundig sowie an der Waffe ausgebildet sein",.
"72. Welche Tätigkeiten sind Wach- und Sicherungstätigkeiten gemäß der Unfallverhütungsvorschrift DGUV Vorschrift 23, Wach- und Sicherungsdienste?",A) Winter- und Kehrdienst,B) Objekt- und Werkschutz,C) Geld- und Werttransporte,"D) private Ermittlungen, Observation",.
73. Gemäß der DGUV Vorschrift 23 ist im Wachdienst die Einnahme berauschender Mittel verboten. Was sind verbotene berauschende Mittel?,"A) Medikamente, die z. B. müde machen",B) Kaffee und Tee,C) Zigaretten und E-Zigaretten,,
74. Müssen Sie als Wachperson Weisungen des Auftraggebers in jedem Fall beachten?,"A) Ja. Ich muss alle Weisungen des Auftraggebers befolgen, da ich als angestellte Wachperson weisungsgebunden bin.","B) Ja. Ich muss auch Nebentätigkeiten ausführen, die nicht in der Dienstanweisung beschrieben sind, wenn dies die Personalsituation im Betrieb erfordert.","C) Nein. Tätigkeiten, die nicht in der speziellen Dienstanweisung festgelegt sind, darf ich nicht ausführen.",,
75. Das Wach- und Sicherungspersonal muss gemäß der DGUV Vorschrift 23 die der Arbeitssicherheit dienenden Maßnahmen unterstützen. Was zählt dazu?,A) Sie müssen bei der Teilnahme an Schießübungen in Raumschießanlagen einen Augen- und Gehörschutz tragen.,"B) Sie müssen bei allen Bewachungstätigkeiten Reizstoffsprühgeräte mitführen, damit sie Angriffe oder störende Personen abwehren können.","C) Sie müssen Weisungen des Auftraggebers auch dann befolgen, wenn sie hierfür keine Befähigung besitzen, z. B. die Durchführung einer Aufzugsbefreiung.",,
76. Wie wird der Widerstandswert eines Sicherheitszauns erhöht?,A) Durch Installieren einer Videoanlage,B) Durch ausreichende Beleuchtung. So werden unbefugte Personen abgeschreckt,"C) Durch Verwenden hochfester Materialien, z.B. eines Stahlprofilzauns",D) Durch Anbringen eines Übersteig- und Unterkriechschutzes,.
77. Was sind Funktionen einer Brandmeldezentrale?,"A) Sie aktiviert im Brandfall vorhandene Klimaanlagen, um schädliche Rauchgase abzusaugen",B) Sie wertet die empfangenen Signale der angeschlossenen Melder aus,C) Sie aktiviert automatisch am Brandherd eingerichtete nasse Sprinkleranlagen,"D) Sie überwacht die Brandmeldeanlage und zeigt Fehler optisch und akustisch an, z.B. Störungen der Energieversorgung",.
78. Welche Merkmale sind kennzeichnend für den Sicherheitswert eines Schließzylinders?,A) Anzahl der Stiftzuhaltungen,B) Bauform und Baulänge,C) Anzahl der mitgelieferten Schlüssel,D) Bohrschutz,.
79. Welche Vorteile bietet drahtlose Kommunikationstechnik gegenüber der drahtgebundenen Technik?,A) Sehr große Reichweiten,B) Freie Standortwahl,C) Schneller Rufaufbau,D) Mithören ausgeschlossen,.
80. Welche Vorgehensweise mit dem Handfeuerlöscher ist falsch?,A) Mehrere Handfeuerlöscher nacheinander einsetzen,B) Flächenbrände von vorne unten beginnend löschen,C) Tropf- oder Fließbrände von oben nach unten löschen,,
81. Wo werden Generalhauptschlüsselanlagen verwendet?,A) Mehrfamilienhäuser,B) Großunternehmen,C) Mietwohnung,,
82. Welche Aussage zu Handfeuerlöschern ist richtig?,A) Handfeuerlöscher mit dem Löschmittel Wasser sind für alle Brandklassen geeignet.,B) Handfeuerlöscher werden nur als Dauerdrucklöscher angeboten.,C) Es sind tragbare Kleinlöschgeräte mit einem Gesamtgewicht bis maximal 20 kg.,,
