Frage,a,b,c,d,e
61. Die Kommunikation hat den Informationsaustausch zwischen einem Sender und einem Empfänger zum Gegenstand. Wie lassen sich dabei Missverständnisse vermeiden?,"A) Indem der Empfänger nachfragt, wenn er eine Information nicht vollständig wahrgenommen hat","B) Indem der Empfänger aus Höflichkeit den Sender glauben lässt, er habe alle Informationen verstanden",C) Indem Sender und Empfänger auf unterschiedlichen Ebenen kommunizieren,D) Indem der Sender wichtige Informationen durch den Empfänger wiederholen lässt,.
62. Ein Ladendetektiv ertappt eine Person beim Diebstahl. Welches Verhalten ist für den Ladendetektiv empfehlenswert?,A) Die Person ermahnen und im Wiederholungsfall ein Hausverbot androhen,B) Der Person in Anwesenheit anderer Kunden laut Vorwürfe machen,C) Der Person gegenüber ruhig und sachlich bleiben,D) Mit der Person an einem neutralen Ort sprechen,.
63. Wann verhalten sich Wachpersonen professionell?,A) Wenn sie autoritär auftreten und entsprechend handeln,B) Wenn sie grundsätzlich auf ihrem Standpunkt beharren,C) Wenn sie kundenorientiert und angemessen handeln,D) Wenn sie rechthaberisch auftreten,.
"64. Ist es richtig, dass es eine der wichtigen Pflichten eines Sicherheitsmitarbeiters ist, über Dienstvorgänge jeglicher Art Stillschweigen zu bewahren?","A) Nein, die Verletzung der Verschwiegenheitspflicht ist erlaubt, wenn der Sicherheitsmitarbeiter außer Dienst ist.","B) Nein, wenn Kollegen Auskunft verlangen, muss der Sicherheitsmitarbeiters sie geben, damit das Betriebsklima nicht gestört wird.","C) Ja, Verletzungen der Verschwiegenheitspflicht können für Betrieb und Mitarbeiter ernste Folgen haben.","D) Nein, wenn es für den Sicherheitsmitarbeiters nützlich ist, muss er sich nicht an diese Regel halten.",.
65. Wie wird der Widerstandswert eines Sicherheitszauns erhöht?,A) Durch Installieren einer Videoanlage,B) Durch ausreichende Beleuchtung. So werden unbefugte Personen abgeschreckt,"C) Durch Verwenden hochfester Materialien, z.B. eines Stahlprofilzauns",D) Durch Anbringen eines Übersteig- und Unterkriechschutzes,.
"66. Welches Behältnis ist für die sichere Aufbewahrung von Dienstunterlagen ausreichend, z.B. für Dienstanweisungen, Besucherausweise und Berichte?",A) Stahlblechschrank mit Sicherheitsverschluss,B) Panzergeldschrank mit mechanischer und geistiger Verschlusseinrichtung,C) Feuersicherer Datensicherungsschrank,D) Geprüfter Wertschutztresor,.
"67. Welcher Brandklasse sind die Stoffe Lacke, Teer und Alkohole zugeordnet?",A) Brandklasse A,B) Brandklasse B,C) Brandklasse C,D) Brandklasse D,E) Brandklasse F
"68. Welche Aussage zu einbruchhemmenden Türen kann der ""Widerstandsklasse 1"" (RC 1 gemäß DIN EN 1627) zugeordnet werden?",A) Schutz gegen Aufbruch mit Schraubendreher und Zange,B) Schutz gegen Aufbruch mit Säge- und Schlagwerkzeugen,C) Schutz gegen Aufbruch mit körperlicher Gewalt,D) Schutz gegen Aufbruch mit leistungsfähigen Elektrowerkzeugen,.
69. Was bewirkt die nachträgliche Montage von Sicherheitsfolien auf Glasflächen?,A) Erhöhung des Widerstandswertes,B) Verringerung des Verletzungsrisikos durch Splitterschutz,C) Schallschutz,D) Wärmeschutz,.
70. Wozu dienen im wesentlichen Zutrittskontrollsysteme?,A) Der Überwachung von Personenbewegungen,B) Der Feststellung von Bewegungsmustern von Mitarbeitern und Besuchern,C) Der Kontrolle der Identität und Zugangsberechtigung von Personen,D) Der Überwachung von Fahrzeugbewegungen,.
71. Welche Aussagen zum Digitalfunk sind richtig?,A) Er ist störanfälliger und leistungsschwächer als der Analogfunk,B) Er bietet eine Notruffunktion mit Ortungsmöglichkeit,C) Er gewährt eine bessere Sprachqualität und unterdrückt störende Hintergrundgeräusche,"D) Er ist leicht abzuhören, d.h„ der Datenschutz ist nicht gesichert",.
72. Welche Maßnahmen gehören zum organisatorischen vorbeugenden Brandschutz?,A) Das Aufstellen einer Brandschutzordnung,B) Der Einbau von schwer entflammbaren Material,C) Die Erkennung und Bekämpfung von Bränden,D) Die Planung von Brandschutzkontrollen,.
