"84. Frage","a","b","c","d","."
"68. Welche Aussagen sind gemäß der Unfallverhütungsvorschrift DGUV Vorschrift 1, Grundsätze der Prävention, richtig?","A) Das Betreten von Räumen und der Aufenthalt darin ist zu verbieten, wenn dadurch eine Gefahr für die Sicherheit und die Gesundheit besteht","B) Die Beschäftigten müssen auch solche Weisungen des Unternehmers beachten, die die Gesundheit gefährden","C) Der Unternehmer muß dafür sorgen, dass jede Erste-Hilfe-Leistung der zuständigen Berufsgenossenschaft gemeldet wird","D) Der Unternehmer muß dafür sorgen, dass den Beschäftigten die für ihren Arbeitsbereich geltenden Unfallverhütungsvorschriften in verständlicher Weise vermittelt werden","."
"69. Gemäß der Unfallverhütungsvorschrift DGUV Vorschrift 1, Grundsätze der Prävention, muß jede Erste-Hilfe-Leistung dokumentiert werden. Welche Aussagen zum Verbandbuch sind richtig?","A) Im Verbandbuch muß notiert werden, an wen Schmerzmittel und Verbandsmaterial ausgegeben worden sind","B) Im Verbandbuch müssen Erste-Hilfe-Leistungen, die während des Dienstes erfolgen, eingetragen werden","C) Im Verbandbuch muß die Krankmeldung eines Mitarbeiters zum Dienstbeginn eingetragen werden","D) Die im Verbandbuch eingetragenen Erste-Hilfe-Leistungen müssen fünf Jahre lang aufbewahrt und vertraulich behandelt werden","."
"70. Welche grundsätzlichen Anforderungen an das Wach- und Sicherungspersonal sind in der „Allgemeinen Dienstanweisung" gemäß der Unfallverhütungsvorschrift DGUV Vorschrift 23, Wach· und Sicherungsdienste, zu beschreiben?","A) Objektbezogene Kontrollmaßnahmen","B) Rechte und Pflichten einschließlich Verschwiegenheitspflicht","C) Verbot von Schreckschuss- oder Gasschußwaffen","D) Unterstellungsverhältnis und Weisungsberechtigte","."
"71. Was muß in der „Allgemeinen Dienstanweisung" gemäß Unfallverhütungsvorschrift DGUV Vorschrift 23, Wach- und Sicherungsdienste, beschrieben werden?","A) Die Beschreibung von Nebentätigkeiten wie Winterdiensten","B) Der Umgang mit Schußwaffen","C) Die objektspezifischen Abläufe von Zugangskontrollen und Kontrollgängen","D) Das Verbot berauschender Mittel","."
"72. Welche Hunde dürfen gemäß der Unfallverhütungsvorschrift DGUV Vorschrift 23, Wach- und Sicherungsdienste, als Diensthunde eingesetzt werden?","A) Nur geprüfte Hunde, die für die Aufgabe ausgebildet und geeignet sind","B) Alle Hunderassen, wenn sie die Gebrauchshundeprüfung der Polizei mit Erfolg abgelegt haben","C) Hunde, die nicht zur Bösartigkeit neigen","D) Hunde, die alle drei Jahre eine Gebrauchshundeprüfung mit Erfolg ablegen","."
"73. Das Wach- und Sicherungspersonal muß gemäß der Unfallverhütungsvor- schritt DGUV Vorschrift 23, Wach- und Sicherungsdienste, in Wachobjekte eingewiesen werden. Welche Aussagen zur Objekteinweisung sind richtig?","A) Der Unternehmer muß dafür sorgen, dass das Wach- und Sicherungspersonal in das Wachobjekt und in die spezifischen Gefahren eingewiesen wird","B) Der Unternehmer muß dafür sorgen, dass das Wach- und Sicherungspersonal immer zur Tageszeit eingewiesen wird","C) Der Unternehmer kann auf die Objekteinweisung verzichten, wenn das Wach- und Sicherungspersonal über ausreichend Berufserfahrung verfügt. Ansonsten genügt eine Objekteinweisung alle zwei Jahre","D) Der Unternehmer muß das Wach- und Sicherungspersonal über das Verhalten bei der Begegnung mit Diensthunden einweisen lassen, wenn im Wachobjekt diese Hunde eingesetzt werden","."
"74. Welche Schußwaffen dürfen gemäß der Unfallverhütungsvorschrift DGUV Vorschrift 23, Wach- und Sicherungsdienste, geführt werden?","A) Schusswaffen, die von einem Sachkundigen eines Schützenvereins geprüft wurden","B) Schußwaffen, die ein europäisches Herstellerzeichen tragen","C) Schusswaffen, die mindestens einmal jährlich durch Sachkundige hinsichtlich ihrer Handhabungssicherheit geprüft werden","D) Schußwaffen, die amtlich geprüft sind und ein in der Bundesrepublik Deutschland anerkanntes Beschusszeichen tragen","."
"75. Was zählt zu den Befähigungsnachweisen gemäß der DGUV V 23?","A) Der Nachweis der Sachkundeprüfung gemäß § 34a GewO","B) Das persönliche Führungszeugnis","C) Der Führerschein","","."
"76. Gefahrenmeldeanlagen werden unterschieden in Einbruch-, Brand- und Überfallmeldeanlagen. Welche Bauelemente werden nur in Einbruchmeldeanlagen eingesetzt?","A) Die primäre und sekundäre Stromversorgung","B) Die Zentraleinheit","C) Die Bewegungsmelder","D) Die Scharfschalteinrichtung","."
"77. Welche Brandmelder reagieren auf Temperaturanstieg?","A) Rauchmelder","B) Wärmemaximalmelder","C) Flammenmelder","D) Wärmedifferentialmelder","."
"78. Welche Brandmelder reagieren auf Temperaturanstieg?","A) Rauchmelder","B) Wärmemaximalmelder","C)  Flammenmelder","D) Wärmedifferentialmelder","."
"79. Warum ist Wasser als Löschmittel für Brände fester Stoffe geeignet?","A) Weil es im Verhältnis zu anderen Löschmitteln eine sehr hohe Löschleistung besitzt","B) Weil es Wärme bindet und damit die Entzündungstemperatur absenkt","C) Weil es als Vollstrahl tief liegende Glutnester erreicht und freilegt","D) Weil es aufgrund seiner Vernetzung mit dem brennbaren Stoff erstickend wirkt","."
"80. Welchem Zweck dienen Magnetkontakte?","A) Sie dienen der optischen Verschlussüberwachung von Türen","B) Sie dienen der Öffnungsüberwachung von Türen","C) Sie dienen der Sehartschaltung von Einbruchmeldeanlagen","D) Sie dienen dem Außenhautschutz und der Objektüberwachung","."
"81. Welche Brandmelder reagieren auf Wärme bzw. Hitze?","A) Optische Streulichtmelder","B) Wärmemaximalmelder","C) Flammenmelder","","."
"82. Welche Aussage zum Bündelfunk ist richtig?","A) Neben der Sprachübertragung ist auch die Übertragung von Daten möglich","B) Es steht nur eine Frequenz für ein Unternehmen zur Verfügung","C) Funkgespräche sind nur zwischen zwei Beteiligten möglich","","."
