"1. Frage","a","b","c","d","e"
"69. Bei Sicherungstätigkeiten, wie z. B. in Asylunterkünften, können sich für das Wach- und Sicherungspersonal besondere Gefahren ergeben. Welche Aussagen dazu sind gemäß der Unfallverhütungsvorschrift DGUV Vorschrift 23, Wach- und Sicherungsdienste, richtig?","A) Es darf nur Wach- und Sicherungspersonal eingesetzt werden, das über ausreichend Menschenkenntnis und Lebenserfahrung verfügt und die Sachkundeprüfung erfolgreich abgelegt hat","B) Der Unternehmer muss die zu sichernden Objekte zum Schutz des Wach- und Sicherungspersonals regelmäßig auf Gefahren überprüfen und festgestellte Gefahren beseitigen","C) Der Unternehmer ist verpflichtet, bei Sicherungstätigkeiten mit besonderen Gefahren, z. B. mit einem hohen Konfrontationspotenzial, immer zwei oder mehr Wachpersonen einzusetzen","D) Der Unternehmer muss sicherstellen, dass das Wach- und Sicherungspersonal überwacht wird, z.B. per Telefon oder Personen-Notsignal-Anlagen","."
"70. Welche Aussagen zu „Nebentätigkeiten“ sind gemäß der Unfallverhütungs- vorschrift DGUV Vorschrift 23, Wach- und Sicherungsdienste, richtig?","A) Nebentätigkeiten, die über den eigentlichen Sicherungsauftrag hinausgehen, müssen in der Dienstanweisung schriftlich festgelegt werden","B) Nebentätigkeiten sind bei der Durchführung von Geld- und Werttransporten unzulässig. Davon ausgenommen ist z.B. die Beseitigung von Störungen an Geldautomaten","C) Nebentätigkeiten wie Kehrdienste oder Lagerarbeiten muss das Wach- und Sicherungspersonal erledigen. Hierfür genügen mündliche Absprachen mit dem Auftraggeber","D) Nebentätigkeiten wie die gelegentliche Kontrolle oder Bedienung technischer Anlagen dürfen vom Wach- und Sicherungspersonal ausgeführt werden, wenn es eingewiesen wurde","."
"71. Welche Pflichten beschreibt die Unfallverhütungsvorschrift DGUV Vorschrift 23, Wach- und Sicherungsdienste, für den Unternehmer?","A) Er muss dafür sorgen, dass das Wach- und Sicherungspersonal anhand der Dienstanweisung vor Aufnahme der Tätigkeit und darüber hinaus regelmäßig unterwiesen wird","B) Er muss dafür sorgen, dass das Wach- und Sicherungspersonal jährlich einer arbeitsmedizinischen Untersuchung unterzogen wird, um die körperliche Eignung zu überprüfen","C) Er muss dafür sorgen, dass das Wach- und Sicherungspersonal die Dienstanweisung wöchentlich zur Kenntnis nimmt und dies mit seiner Unterschrift bestätigt","D) Er muss dafür sorgen, dass für Geldtransporte nur Personen eingesetzt werden, die mindestens 18 Jahre alt, persönlich zuverlässig, geeignet sowie für diese Aufgabe besonders ausgebildet und in diese eingewiesen sind","."
"72. Was bestimmt die Unfallverhütungsvorschrift DGUV Vorschrift 23, Wach- und Sicherungsdienste, für die Ausrüstung des Wach- und Sicherungspersonals mit Schusswaffen?","A) Das Wach- und Sicherungspersonal darf nur unter Beachtung waffenrechtlicher Bestimmungen mit Schusswaffen ausgerüstet werden, wenn es der Unternehmer ausdrücklich anordnet","B) Das Wach- und Sicherungspersonal darf im Wachdienst mit Zustimmung des Unternehmers Schusswaffen führen, wenn es den „Kleinen Waffenschein“ besitzt","C) Der Unternehmer muss sicherstellen, dass das mit Schusswaffen ausgerüstete Wach- und Sicherungspersonal regelmäßig an Schießübungen teilnimmt und die Schießfertigkeit nachgewiesen wird","D) Das Wach- und Sicherungspersonal muss vor Dienstantritt Schusswaffen auf Mängel überprüfen und die Mängel selbst beheben","."
"73. Das Wach- und Sicherungspersonal muss gemäß der Unfallverhütungs- vorschrift DGUV Vorschrift 23, Wach- und Sicherungsdienste, in Wachobjekte eingewiesen werden. Welche Aussagen zur Objekteinweisung sind richtig?","A) Der Unternehmer muss dafür sorgen, dass das Wach- und Sicherungspersonal in das Wachobjekt und in die spezifischen Gefahren eingewiesen wird","B) Der Unternehmer muss das Wach- und Sicherungspersonal über das Verhalten bei der Begegnung mit Diensthunden einweisen lassen, wenn im Wachobjekt diese Hunde eingesetzt werden","C) Der Unternehmer muss dafür sorgen, dass das Wach- und Sicherungspersonal immer zur Tageszeit in das Wachobjekt eingewiesen wird","D) Der Unternehmer kann auf die Objekteinweisung verzichten, wenn das Wach- und Sicherungspersonal über ausreichend Berufserfahrung verfügt. Ansonsten genügt eine Objekteinweisung alle zwei Jahre","."
"74. Was ist eines der Ziele der Unfallverhütungsvorschriften?","A) Die Strafen für die Nichtbeachtung von Unfallverhütungsvorschriften festzulegen","B) Die einheitliche Ausstattung mit Ausrüstung und Hilfsmitteln vorzuschreiben","C) Arbeitsunfällen vorzubeugen","","."
"75. Der Bewachungs-Gewerbetreibende muss gemäß der DGUV Vorschrift 23 Aufzeichnungen über die Befähigungen des Wach- und Sicherungspersonals führen. Was zählt zu den Befähigungsnachweisen?","A) Das persönliche Führungszeugnis","B) Die Waffensachkundeprüfung","C) Ein Gesellenbrief","","."
"76. Warum ist gemäß der DGUV Vorschrift 23 der Genuss alkoholischer Getränke verboten?","A) Weil dies eine Gefährdung darstellt und die sichere Durchführung der Bewachungstätigkeit nicht mehr gewährleistet ist.","B) Weil durch dieses Verbot verhindert werden soll, dass das Wach- und Sicherungspersonal alkoholabhängig wird.","C) Weil dadurch das Ansehen des Bewachungs-Gewerbetreibenden in der Öffentlichkeit beschädigt werden kann.","","."
"77. Worin besteht der Löscheffekt,,Abkühlen" des Löschmittels Wasser?","A) Trennung des brennbaren Stoffes vom Sauerstoff der Umgebungsluft","B) Wärmebindung infolge der Verdampfung des Wassers","C) Verdünnung des Sauerstoffs der Umgebungsluft auf unter 15%","D) Abkühlung des brennbaren Stoffes bis unter die Mindestverbrennungstemperatur 
","."
"78. Welche Aussagen treffen auf eine Hauptschlüsselanlage zu?","A) Einzelschlüssel können alle Schließzylinder der Anlage öffnen","B) Einzelschlüssel können den Hauptschlüssel ersetzen","C) Hauptschlüssel schließen alle Schließzylinder der Anlage","D) Einzelschlüssel schließen nur den dazugehörigen Schließzylinder","."
"79. Welche Bestandteile eines Gebäudes bilden Schwerpunkte einer Außenhautkontrolle?","A) Fenster und Dachluken","B) Ein- und Ausfahrten","C) Zäune und Mauern","D) Ein- und Ausgangstüren","."
"80. Welche Aussagen zu „einbruchhemmenden Türen“ sind richtig?","A) Sie können in Holz, Kunststoff oder Metall ausgeführt sein","B) Sie erschweren nach Widerstandsklassen Einbrüche mit Werkzeugen oder körperlicher Gewalt","C) Sie müssen für den Einbau von Einbruchmeldetechnik vorgerüstet sein","D) Die Nachrüstung von Türen ist unzulässig. Die einbruchhemmende Wirkung muss werksseitig hergestellt werden","."
"81. Welche Aussage zu einbruchhemmenden Türen kann der "Widerstandsklasse 1" (RC 1 gemäß DIN EN 1627) zugeordnet werden?","A) Schutz gegen Aufbruch mit körperlicher Gewalt","B) Schutz gegen Aufbruch mit Schraubendreher und Zange","C) Schutz gegen Aufbruch mit Säge- und Schlagwerkzeugen","D) Schutz gegen Aufbruch mit leistungsfähigen Elektrowerkzeugen","."
"82. Welche im Erdgeschoss montierten Fenster bieten Einbrechern sehr geringen Widerstand?","A) Fenster, die nur auf Wärmedämmung ausgelegt sind","B) Fenster, in denen zur Sicherung Rollzapfen eingebaut sind","C)  Fenster mit durchwurfhemmender Sicherheitsverglasung","D) Fenster mit im Mauerwerk fest verankerten Metallschutzgittern","."
"83. Welchen Zweck dienen Einbruchmeldeanlagen?","A) Sie sollen beispielsweise durch Abschreckung Einbrüche, Diebstähle und Überfälle verhindern","B) Sie sollen witterungsbedingte Gefahren im Freigelände feststellen, dokumentieren und melden","C) Sie sollen im Notfall Hilfe leistende Stellen wie Polizei oder Sicherheitsdienst benachrichtigen","D) Sie sollen Störungen an Klimaaniagen, Siromversorgungseinrichtungen und Aufzugsanlagen feststellen und an Notdienste melden","."
