Frage,a,b,c,d,e
63. Eine Gruppe von Randalierern möchte durch ihr Verhalten Aufmerksamkeit in der Öffentlichkeit erzeugen. Welche Motive kommen hierfür in Betracht?,A) Physiologische Grundbedürfnisse,B) Streben nach Anerkennung,C) Sicherheitsbedürfnisse,D) Soziale Zugehörigkeit,.
64. Die Kommunikation hat den Informationsaustausch zwischen einem Sender und einem Empfänger zum Gegenstand. Wie lassen sich dabei Missverständnisse vermeiden?,"A) Indem der Empfänger nachfragt, wenn er eine Information nicht vollständig wahrgenommen hat","B) Indem der Empfänger aus Höflichkeit den Sender glauben lässt, er habe alle Informationen verstanden",C) Indem Sender und Empfänger auf unterschiedlichen Ebenen kommunizieren,D) Indem der Sender wichtige Informationen durch den Empfänger wiederholen lässt,.
65. Wann darf das Löschmittel Wasser in keinem Fall verwendet werden?,A) Wenn Lacke oder Kunststoffe brennen,B) Wenn Holz oder Kohle brennt,C) Wenn Heu oder Papier brennt,D) Wenn Magnesium oder Kalium brennt,.
66. Für welche Überwachungsaufgaben können Lichtschranken eingesetzt werden?,A) Zur flächenmäßigen Überwachung der Außenhaut,B) Zur flächenmäßigen Überwachung von Freiflächen,C) Zur schwerpunktmäßigen Überwachung von Einzelobjekten,D) Zur Verschluss- und Öffnungsüberwachung von Türen,.
"67. Wie können Fenster zusätzlich gesichert werden, um das Eindringen zu erschweren?",A) Durch Anbringen verschraubter Fenstergitter von innen,B) Durch eine Einbruchmeldeanlage,C) Durch Aufkleben von durchwurfhemmenden Sicherheitsfolien,D) Durch eine Videoüberwachungsanlage,.
68. Durch welche mechanischen Standards kann das Überwinden von Sicherheitszäunen erschwert werden?,"A) Durch eine Bauhöhe von 1,50 m","B) Durch Materialgüte, Bauhöhe, Konstruktion und Standfestigkeit",C) Durch eine lückenlose Videoüberwachung,D) Durch innen liegende Verbindungselemente,.
69. Welche Aussagen zur Überfallmeldeanlage (ÜMA) sind richtig?,A) Die ÜMA ist eine Gefahrenmeldeanlage und dient der Alarmierung der Polizei oder von Wachdiensten bei einem Überfall,B) Die ÜMA meldet einen vom Opfer manuell ausgelösten Überfallalarm an eine vorher bestimmte zuständige Stelle,C) Die ÜMA ist für alle Empfangs- und Pfortendienste zum Schutz von Personen vorgeschrieben,"D) Die ÜMA muss externe Signalgeber wie Blitzleuchten oder Sirenen ansteuern, um mögliche Täter abzuschrecken",.
"70. Die ÜMA muss externe Signalgeber wie Blitzleuchten oder Sirenen ansteuern, um mögliche Täter abzuschrecken",A) Er ist störanfälliger und leistungsschwächer als der Analogfunk,B) Er bietet eine Notruffunktion mit Ortungsmöglichkeit,C) Er gewährt eine bessere Sprachqualität und unterdrückt störende Hintergrundgeräusche,"D) Er ist leicht abzuhören, d.h„ der Datenschutz ist nicht gesichert",.
71. Wobei haben Wachpersonen im Rahmen ihrer Kontrolltätigkeit eine Mitverantwortung?,A) Beim vorbeugenden betrieblichen Brandschutz,B) Beim abwehrenden betrieblichen Brandschutz,C) Beim baulichen betrieblichen Brandschutz,D) Beim organisatorischen betrieblichen Brandschutz,.
72. Welche Aussage/n zum Funkschatten ist/sind richtig?,A) Störungen der Funksignale sind immer auf Bedienungsfehler zurückzuführen,"B) Ortsbedingte Abschaltungen, Reflexionen oder Beugungen des Funksignals beeinflussen dessen Reichweite","C) In Bereichen, in denen die Ausbreitung von Funkwellen gestört sein kann, muss mit Beeinträchtigungen des Funkverkehrs gerechnet werden","D) Bei Verbindungsproblemen, z.B. durch Funkschatten, muss die Rauschsperre am Funkgerät eingeschaltet werden",.
